rank,name,score,num,dir,act,type,year,city,qu
146,魂断蓝桥,8.8,134278人评价,Mervyn,"Vivien,Leigh,/,Robert,Taylor,/,Lucile,Watson",爱情,1940,美国,中国式内在的美国电影。
147,教父3,8.8,136923人评价,弗朗西斯·福特·科波拉,"Coppola,主演:,阿尔·帕西诺,A...",犯罪,1990,美国,任何信念的力量，都无法改变命运。
148,萤火之森,8.7,166497人评价,大森贵弘,"主演:,佐仓绫音,Ayane,Sakura,/,内山昂辉,K...",奇幻,2011,日本,触不到的恋人。
149,猜火车,8.5,257200人评价,丹尼·博伊尔,"主演:,伊万·麦克格雷格,Ewan,McGregor,/,...",剧情,1996,英国,不可猜的青春迷笛。 
150,完美的世界,9,84849人评价,克林特·伊斯特伍德,"主演:,凯文·科斯特纳,Kevin,Cos...",犯罪,1993,美国,坏人的好总是比好人的好来得更感人。
151,小森林 冬春篇,8.9,122447人评价,森淳一,"主演:,桥本爱,Ai,Hashimoto,/,三浦贵大,Takahir...",剧情,2015,日本,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
152,纵横四海,8.7,153728人评价,吴宇森,"主演:,周润发,Yun-Fat,Chow,/,张国荣,Leslie,Cheung...",犯罪,1991,香港,香港浪漫主义警匪动作片的巅峰之作。
153,穿越时空的少女,8.6,192746人评价,细田守,"主演:,仲里依纱,Riisa,Naka,/,石田卓也,Takuya...",动画,2006,日本,爱上未来的你。 
154,荒蛮故事,8.8,148464人评价,达米安·斯兹弗隆,"主演:,达里奥·葛兰帝内提,Darío...",犯罪,2014,阿根廷,始于荒诞，止于更荒诞。
155,二十二,8.8,101908人评价,郭柯,主演:,纪录片,2015,中国大陆,有一些东西不应该被遗忘。
156,玩具总动员3,8.8,199680人评价,李·昂克里奇,"主演:,汤姆·汉克斯,Tom,Hanks,/,蒂姆·艾...",冒险,2010,美国,跨度十五年的欢乐与泪水。
157,雨中曲,9,96540人评价,Stanley,"Gene,Kelly,主演:,Gene,Kelly,/,Donald,O'Connor,/,...",爱情,1952,美国,骨灰级歌舞片。
